platform,appId,title,store_url,developer,genres,contentRating,price,free,score,reviews,app_type,web_accessible,web_url,login_required,login_methods,age_verification_required,age_verification_method,subscription_required_for_long_chat,all_features_available_without_subscription,subscription_features,subscription_cost,languages_supported
both,com.doubley.drip,Him - AI Boyfriend Chat,https://apps.apple.com/us/app/him-ai-boyfriend-chat/id6753196686?uo=4,DOUBLE Y INC.,Entertainment,17+,0,True,4.6303,330,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,app.soulplay.soulplay,Soulplay - AI Roleplay,https://apps.apple.com/us/app/soulplay-ai-roleplay/id6501972568?uo=4,Studio Dopa LLC,"Games, Entertainment, Roleplaying, Simulation",17+,0,True,4.65585,10106,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,com.dating.ai,Flipped:Chat with AI Character,https://apps.apple.com/us/app/flipped-chat-with-ai-character/id6445969623?uo=4,SINGAPORE DESERT OASIS TECHNICAL PTE. LIMITED,Entertainment,17+,0,True,4.69758,10082,companion,True,https://flipped.chat,True,"email/password, Google, Apple",True,self-declaration (age 18+),True,False,"Premium: unlimited messages, voice, exclusive characters, gems currency",$9.99/month,"en, de, fr, ja, ko, pt, es, zh"
ios,com.xo.ai.girlfriend.boyfriend.chat,X.O: AI Girlfriend & Boyfriend,https://apps.apple.com/us/app/x-o-ai-girlfriend-boyfriend/id6741393424?uo=4,Artur Kuryla,"Entertainment, Games, Roleplaying, Simulation",17+,0,True,4.224,250,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
both,com.rheality.dot,dotdotdot Fantasy AI Boyfriend,https://apps.apple.com/us/app/dotdotdot-fantasy-ai-boyfriend/id6744018732?uo=4,amore lab inc,Entertainment,17+,0,True,4.38537,301,companion,False,,True,email/password,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,ai.replika.app,Replika - AI Friend,https://apps.apple.com/us/app/replika-ai-friend/id1158555867?uo=4,"Luka, Inc.","Health & Fitness, Entertainment",17+,0,True,4.44804,227822,companion,True,https://replika.com,True,"email/password, Apple, Google",True,self-declaration (date of birth),False,False,"Replika Pro: romantic mode, voice calls, AR, adult content",$19.99/month,en
ios,filin.ChatAI,AI Boyfriend Chat - Husby,https://apps.apple.com/us/app/ai-boyfriend-chat-husby/id6448729671?uo=4,Iurii Filin,"Entertainment, Lifestyle",4+,0,True,4.66807,2142,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"ar, en, fr, de, id, it, pt, ru, es, tr"
ios,FirstWater.CheekyChat,Spicy Chat AI,https://apps.apple.com/us/app/spicy-chat-ai/id6449228704?uo=4,Under The Dream,"Social Networking, Entertainment",17+,0,True,4.03327,511,companion,True,https://spicychat.ai,True,"email/password, Google",True,self-declaration (age 18+),True,False,"Premium: unlimited messages, NSFW content, advanced models",$9.99/month,en
ios,com.creativeapp.aichat,SynClub:Chat With AI Character,https://apps.apple.com/us/app/synclub-chat-with-ai-character/id1671537674?uo=4,"HICLUB, INC.","Entertainment, Productivity",17+,0,True,4.56444,3779,companion,False,,True,email/password,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja, ko, zh"
ios,com.lyubimy.aiboyfriendchat,AI Boyfriend Chat Companion,https://apps.apple.com/us/app/ai-boyfriend-chat-companion/id6757181994?uo=4,YASSINE CHEQROUNI,Entertainment,17+,0,True,5,2,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.aigc.ushow.ichat,Linky AI: AI Chat&Char Maker,https://apps.apple.com/us/app/linky-ai-ai-chat-char-maker/id6450916631?uo=4,SKYWORK AI PTE LTD,Social Networking,17+,0,True,4.38999,7272,companion,True,https://linky-ai.com,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, advanced characters, creator program",$9.99/month,"en, zh, ja, ko, es, fr"
ios,mobi.girlsapps.MyVirtualBoyfriendpubsdk,My Virtual Boyfriend Talk,https://apps.apple.com/us/app/my-virtual-boyfriend-talk/id1003620852?uo=4,Умное Потребление,"Entertainment, Lifestyle",17+,0,True,4.33737,5525,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"ar, en, fr, de, it, ja, ko, pt, ru, zh, es"
ios,com.jupi.aiassistant,Jupi - AI Character Chat,https://apps.apple.com/us/app/jupi-ai-character-chat/id1668337467?uo=4,Bots and Bolts,"Entertainment, Games, Adventure",17+,0,True,4.55107,32860,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth) + optional Yoti ID verification,True,False,"Premium: unlimited messages, voice, exclusive characters",$9.99/month,en
both,com.kindroid.app,Kindroid: Your Personal AI,https://apps.apple.com/us/app/kindroid-your-personal-ai/id6451038161?uo=4,Beautifully Incorporated,"Entertainment, Lifestyle",17+,0,True,4.78243,5750,companion,True,https://kindroid.ai,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice calls, image generation, memory, social profile",$13.99/month,en
both,ai.nomi.app,Nomi: AI Companion with a Soul,https://apps.apple.com/us/app/nomi-ai-companion-with-a-soul/id6450270929?uo=4,Nomi.ai,"Lifestyle, Entertainment",17+,0,True,4.59811,2222,companion,True,https://nomi.ai,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice calls, image generation, group chats",$15.99/month,en
ios,com.chatflame.toltech,Flamify: AI Voice & Chat,https://apps.apple.com/us/app/flamify-ai-voice-chat/id6502898347?uo=4,Tolstykh Dmitrii,"Social Networking, Lifestyle",17+,0,True,4.44909,2249,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,com.runwayer.ameo,Boyfi - AI Partner & Boyfriend,https://apps.apple.com/us/app/boyfi-ai-partner-boyfriend/id6737233936?uo=4,Runwayer Group Ltd,"Lifestyle, Entertainment",17+,0,True,3.95807,477,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.dreamweave.ai,AI Boyfriend Chat - DreamWeave,https://apps.apple.com/us/app/ai-boyfriend-chat-dreamweave/id6748649572?uo=4,"Sichuan Shanghu Network Technology Co., Ltd.","Entertainment, Social Networking",17+,0,True,4.6909,55,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja, ko, zh"
ios,com.ziya.Lior,Lior: AI Boyfriend Chat,https://apps.apple.com/us/app/lior-ai-boyfriend-chat/id6752859042?uo=4,ZIYA GUVEN,"Entertainment, Lifestyle",17+,0,True,4.27778,18,companion,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, nl, en, fr, de, he, hi, id, it, ja, ko, pt, ru, es, sv"
both,io.aichat.ios.eo,RolePlai - Ai Character Chat,https://apps.apple.com/us/app/roleplai-ai-character-chat/id1671444242?uo=4,ANDREW WEDD,"Games, Roleplaying, Entertainment",17+,0,True,4.50605,5207,companion,True,https://roleplai.app,True,"email/password, Apple, Google",False,,True,False,"Premium: unlimited messages, advanced personas, voice",$9.99/month,en
ios,com.ai.chatbot.roleplay.boyfriend,AI Boyfriend: Companion & Love,https://apps.apple.com/us/app/ai-boyfriend-companion-love/id6479238342?uo=4,Pei Chen,Lifestyle,17+,0,True,4.16667,48,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,world.playme.mechat,MeChat - Interactive Stories,https://apps.apple.com/us/app/mechat-interactive-stories/id1536157979?uo=4,PlayMe Studio,"Games, Simulation, Entertainment",17+,0,True,4.58233,96390,companion,False,,True,"email/password, Apple, Google",True,self-declaration (age 17+),True,False,"Premium: unlimited episodes, premium stories, gems currency",varies (in-app purchases),en
ios,Fantasy.GF,AI Lover - AI Girlfriend Chat,https://apps.apple.com/us/app/ai-lover-ai-girlfriend-chat/id6736365427?uo=4,VPN Free Unlimited Ltd,"Entertainment, Lifestyle",17+,0,True,4.48739,238,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, fr, de, ja, pt, es"
ios,com.mynalabs.overdub,ChaChat:Chat with AI Character,https://apps.apple.com/us/app/chachat-chat-with-ai-character/id6444773124?uo=4,Mynalabs.ai,Lifestyle,17+,0,True,4.38426,8156,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, nl, en, fr, de, pl, pt, es, sv, tr"
ios,com.lyndl.aiboyfriend,AI BF - Virtual Boyfriend Chat,https://apps.apple.com/us/app/ai-bf-virtual-boyfriend-chat/id6757341256?uo=4,Lyndl ltd,"Entertainment, Simulation, Roleplaying, Games",17+,0,True,4.3,20,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,club.dokichat.app,Dokichat – Romantic AI Chat,https://apps.apple.com/us/app/dokichat-romantic-ai-chat/id6642711442?uo=4,"Dreamintelli, Inc.","Entertainment, Social Networking",17+,0,True,4.59905,2100,companion,True,https://dokichat.club,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, social posts, exclusive characters",$9.99/month,en
ios,co.northlogic.aiboyfriend,AI Boyfriend: Spicy Chat AI,https://apps.apple.com/us/app/ai-boyfriend-spicy-chat-ai/id6478466685?uo=4,Daniel Lasek,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,"Apple, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,tinyleo.com.gaycouple,AI Boyfriend: Truth or Dare+,https://apps.apple.com/us/app/ai-boyfriend-truth-or-dare/id6448089548?uo=4,"Tiny Leo Co., Ltd","Lifestyle, Entertainment",17+,0,True,5,5,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.castlepumpkin.jaxi,Jaxxi: AI Boyfriend,https://apps.apple.com/us/app/jaxxi-ai-boyfriend/id6714478786?uo=4,Sungho Park,"Entertainment, Lifestyle",17+,0,True,4.38235,34,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.heyloopofficial.HeartMate,Virtual Boyfriend Chat - AI BF,https://apps.apple.com/us/app/virtual-boyfriend-chat-ai-bf/id6747583000?uo=4,OceanPath Tech,"Entertainment, Social Networking",17+,0,True,4.63636,11,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, zh"
ios,com.meet.ai,MeetAI：Chat with AI Friend,https://apps.apple.com/us/app/meetai-chat-with-ai-friend/id6447675508?uo=4,"Chengdu Yongyi Technology Co., Ltd.",Entertainment,17+,0,True,4.68269,3492,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"ar, en, fr, de, it, ja, pt, ru, es, zh"
both,com.happyapplab.boyfriendai,Boyfriend AI: Find True Love,https://apps.apple.com/us/app/boyfriend-ai-find-true-love/id6470070770?uo=4,Berke Kurnaz,"Entertainment, Lifestyle",17+,0,True,5,1,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, fr, de, it, ja, es, tr"
both,com.hiwaifu.app,HiWaifu: AI Friend & Waifu Hub,https://apps.apple.com/us/app/hiwaifu-ai-friend-waifu-hub/id6447806780?uo=4,LANGUAGE POWER MEDIA LIMITED,"Social Networking, Entertainment",17+,0,True,4.26994,2182,companion,False,,True,Discord,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, en, fr, id, ja, ko, pt, ru, zh, es, th, uk"
ios,com.inferbot.aiwizard,LeonTalk,https://apps.apple.com/us/app/leontalk/id6740220703?uo=4,Peak Point Technology Co. LTD,Entertainment,17+,0,True,4.5,2,companion,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.ifriend.ios,EVA AI Soulmate,https://apps.apple.com/us/app/eva-ai-soulmate/id1551794721?uo=4,Novi Limited,"Lifestyle, Entertainment",17+,0,True,4.32083,24383,companion,False,,True,"email/password, Google, Apple",True,self-declaration (age 18+),True,False,"Premium: unlimited messages, voice calls, relationship modes",$19.99/month,"en, ru"
ios,ai.girl.friend.character,Ai Girl: Chat with Girlfriend,https://apps.apple.com/us/app/ai-girl-chat-with-girlfriend/id6503456381?uo=4,FindUS Phone Tracker by number,Social Networking,17+,0,True,4.33236,3412,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, en, fr, de, hi, it, ja, ko, pt, ru, zh, es, sv, tr"
ios,com.pixerylabs.aifriend,Fling AI Character & Roleplay,https://apps.apple.com/us/app/fling-ai-character-roleplay/id6478596328?uo=4,Pixery Bilgi Teknolojileri,Entertainment,17+,0,True,3.71429,2681,companion,False,,True,Phone,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,ai.hibae.3d,HiBae - Best AI Companion,https://apps.apple.com/us/app/hibae-best-ai-companion/id6449830507?uo=4,LITE AI TECHNOLOGY (SINGAPORE) PTE. LTD,"Lifestyle, Health & Fitness",17+,0,True,4.65874,589,companion,False,,True,Discord,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,net.dolopla.app,DoloPlanet – Sensual AI Crush,https://apps.apple.com/us/app/doloplanet-sensual-ai-crush/id6737131196?uo=4,"dololabs Co., Ltd.","Books, Photo & Video",17+,0,True,4.59999,15,companion,False,,True,"Apple, Discord, Twitter",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, ja, ko"
ios,com.example.intimatev2,Intimate - AI Girlfriend Chat,https://apps.apple.com/us/app/intimate-ai-girlfriend-chat/id6449442465?uo=4,Growing Pains LLC,"Entertainment, Lifestyle",17+,0,True,4.34665,2478,companion,True,https://intimate.io,True,"email/password, Google, Apple",True,self-declaration (age 18+),True,False,"Premium: unlimited messages, voice calls, NSFW content, image generation",$9.99/month,en
both,ai.blush.app,Blush: AI Dating Simulator,https://apps.apple.com/us/app/blush-ai-dating-simulator/id1641301004?uo=4,Endura LLC,Entertainment,17+,0,True,4.38527,7060,companion,True,https://blush.ai,True,"email/password, Apple, Google",False,,False,False,"Premium: more matches, advanced features",varies (in-app purchases),en
ios,com.romanticai.romanticai,Romantic AI Girlfriend Chat,https://apps.apple.com/us/app/romantic-ai-girlfriend-chat/id1604044764?uo=4,Just Web It Oy,"Entertainment, Lifestyle",17+,0,True,4.30042,1894,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,ai.soulon.app,SoulOn-AI Girlfriend 18+ Chat,https://apps.apple.com/us/app/soulon-ai-girlfriend-18-chat/id6705133758?uo=4,Science Team,Entertainment,17+,0,True,4.30366,1910,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.AIBoyfriend.lovechat,Anime Boyfriend - AI Boy Chat,https://apps.apple.com/us/app/anime-boyfriend-ai-boy-chat/id6472152442?uo=4,Mistero VPN,"Social Networking, Casual, Games, Simulation",17+,0,True,4,7,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, fr, de"
ios,com.generator.artiblend,Cru.AI Mobile: Chat with AI,https://apps.apple.com/us/app/cru-ai-mobile-chat-with-ai/id6448693059?uo=4,Raakel Inberg,"Graphics & Design, Entertainment",17+,0,True,4.14768,237,companion,False,,True,email/password,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.nanobitsoftware.virtuallife,"Winked: Choose, Flirt, Love",https://apps.apple.com/us/app/winked-choose-flirt-love/id1553495817?uo=4,Supercharge Mobile Corp,"Games, Lifestyle, Simulation, Roleplaying",17+,0,True,4.674,27353,companion,False,,True,"email/password, Apple, Google",True,self-declaration (age 18+),True,False,"Premium: unlimited choices, premium stories, gems currency",varies (in-app purchases),en
ios,org.reactjs.native.example.rn-im,LoverLink:Fantasy AI Chat Bot,https://apps.apple.com/us/app/loverlink-fantasy-ai-chat-bot/id6480102612?uo=4,INFINITEMIND TECH PTE. LTD.,Entertainment,17+,0,True,2.92593,27,companion,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),"en, fr, de, ja, pt, es"
ios,com.leoaiboy.aiboy,Leo: Korean Boyfriend,https://apps.apple.com/us/app/leo-korean-boyfriend/id6751222015?uo=4,Harsh Jani,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,Phone,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,ai.crushie.app,Crushie Al: Chat & Companion,https://apps.apple.com/us/app/crushie-al-chat-companion/id6741790631?uo=4,SoulZ AI Inc.,"Entertainment, Social Networking",17+,0,True,4.68397,655,companion,False,,True,"Discord, Twitter, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja, ko, ms, pt, es, th, zh, vi"
ios,com.imate.ai.boyfriend.companion,AI Boyfriend Chat - Imate,https://apps.apple.com/us/app/ai-boyfriend-chat-imate/id6754762584?uo=4,Pradeep Kumar,"Lifestyle, Entertainment",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.aiboyfriend.virtuallove,Ai Boyfriend: Virtual Love,https://apps.apple.com/us/app/ai-boyfriend-virtual-love/id6757331334?uo=4,Anas Kayssi,"Entertainment, Lifestyle",17+,0,True,0,0,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",$12.99/month,en
ios,com.ai.tennis.master.tg,Heat: Ai Girlfriend Chatbot,https://apps.apple.com/us/app/heat-ai-girlfriend-chatbot/id6471625886?uo=4,MACROMATRIX (PRIVATE) LIMITED,Entertainment,17+,0,True,4.5759,6482,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.allia.app.AlliaApp,AI Friend & Companion: Allia,https://apps.apple.com/us/app/ai-friend-companion-allia/id6747612883?uo=4,Bug.AI,"Entertainment, Lifestyle",9+,0,True,4.38462,26,companion,False,,True,"email/password, Google, Apple",False,,True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
both,com.dev12br.date.ai,Date.AI - Virtual Lovers,https://apps.apple.com/us/app/date-ai-virtual-lovers/id6503018938?uo=4,DEV12BR SISTEMAS E APLICATIVOS LTDA,"Games, Simulation, Entertainment, Casual",17+,0,True,4.73332,120,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.newversion.mymen,My Men - Gay AI Boyfriends,https://apps.apple.com/us/app/my-men-gay-ai-boyfriends/id6754987498?uo=4,NEW VERSION LIMITED,"Lifestyle, Entertainment",17+,0,True,4.76,25,companion,False,,True,"Google, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,alexanderparnev.ai-boyfriend-chat,AI Chat: Virtual Boyfriend,https://apps.apple.com/us/app/ai-chat-virtual-boyfriend/id6758357675?uo=4,Alexander Parnev,"Entertainment, Lifestyle",17+,0,True,5,1,companion,False,,True,Apple,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,MustafaUtkuCoskun.AI-Boyfriend-Anime-Won,AI Boyfriend Anime Wonn,https://apps.apple.com/us/app/ai-boyfriend-anime-wonn/id6738020035?uo=4,Mustafa Utku Coskun,"Games, Entertainment, Roleplaying, Simulation",17+,0,True,4.5,12,companion,False,,True,"Apple, Google",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, nl, en, fr, de, it, ja, ko, pt, ru, zh, es, sv, th, tr"
ios,com.aiessay.aiessay,Anime Girlfriend AI - Waifu,https://apps.apple.com/us/app/anime-girlfriend-ai-waifu/id6448568488?uo=4,Rimone Holding,"Entertainment, Roleplaying, Games, Simulation",17+,0,True,4.44075,6430,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
ios,com.story.genai,Chat with AI Boyfriend：StoryAI,https://apps.apple.com/us/app/chat-with-ai-boyfriend-storyai/id6618139367?uo=4,Gulcan Kaya,Entertainment,17+,0,True,4.36364,77,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja, zh"
ios,jucy.ai.fantasy.hot.girlfrend,AI Girlfriend Chat: Jessy,https://apps.apple.com/us/app/ai-girlfriend-chat-jessy/id6504682610?uo=4,Renew AI Yazilim Sanayi ve Ticaret Limited Sirketi,"Entertainment, Lifestyle",17+,0,True,4.56407,1865,companion,False,,True,Google,True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, da, nl, en, fr, de, id, it, ja, ko, pt, ru, zh, es, tr"
ios,com.colorful.heartchat,Chat AI - Your AI Boyfriend,https://apps.apple.com/us/app/chat-ai-your-ai-boyfriend/id6743985654?uo=4,春霞 梁,"Entertainment, Lifestyle",17+,0,True,4.33333,3,companion,False,,True,"Apple, email/password",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"ar, en, fr, de, hi, ja, ko, pt, ru, zh, es, th, vi"
ios,com.green.aigirlfriend,Ai Girlfriend :Virtual Chatbot,https://apps.apple.com/us/app/ai-girlfriend-virtual-chatbot/id6480179119?uo=4,Green & Red LLC,"Entertainment, Utilities",17+,0,True,4.44538,5923,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",varies (in-app purchases),en
ios,com.printage.floze,AI Boyfriend: Floze AI Chat,https://apps.apple.com/us/app/ai-boyfriend-floze-ai-chat/id6739925704?uo=4,Printage inc.,"Entertainment, Lifestyle",17+,0,True,3.39241,79,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,"en, ja, ko, zh"
ios,com.denizyanik.fantasize,Fantasize - AI boyfriend chat,https://apps.apple.com/us/app/fantasize-ai-boyfriend-chat/id6741333218?uo=4,DENIZ YANIK,"Entertainment, Roleplaying, Games",17+,0,True,0,0,companion,False,,True,"email/password, Google, Apple",True,self-declaration (date of birth),True,False,"Premium: unlimited messages, voice, exclusive content",Free,en
